"case_id","row_id","start_date","end_date","expected_days","expected_months","expected_years"
"fixture","1","01JAN2023","15JAN2023","14","0","0"
"fixture","2","01JAN2023","01FEB2023","31","1","0"
"fixture","3","01JAN2023","31DEC2023","364","11","0"
"fixture","4","15MAR2023","20MAR2023","5","0","0"
"fixture","5","31JAN2023","01FEB2023","1","1","0"
"fixture","6","31DEC2023","01JAN2024","1","1","1"
"edge","1","15JAN2024","15JAN2024","0","0","0"
"edge","2","15JAN2024","16JAN2024","1","0","0"
"edge","3","29FEB2024","01MAR2024","1","1","0"
"edge","4","31DEC2024","01JAN2025","1","1","1"
"edge","5","01JAN2025","31DEC2024","-1","-1","-1"
